Date,FEDFUNDS
1/2/02,1.73
1/3/02,1.73
1/4/02,1.73
1/7/02,1.73
1/8/02,1.73
1/9/02,1.73
1/10/02,1.73
1/11/02,1.73
1/14/02,1.73
1/15/02,1.73
1/16/02,1.73
1/17/02,1.73
1/18/02,1.73
1/22/02,1.73
1/23/02,1.73
1/24/02,1.73
1/25/02,1.73
1/28/02,1.73
1/29/02,1.73
1/30/02,1.73
1/31/02,1.73
2/1/02,1.74
2/4/02,1.74
2/5/02,1.74
2/6/02,1.74
2/7/02,1.74
2/8/02,1.74
2/11/02,1.74
2/12/02,1.74
2/13/02,1.74
2/14/02,1.74
2/15/02,1.74
2/19/02,1.74
2/20/02,1.74
2/21/02,1.74
2/22/02,1.74
2/25/02,1.74
2/26/02,1.74
2/27/02,1.74
2/28/02,1.74
3/1/02,1.73
3/4/02,1.73
3/5/02,1.73
3/6/02,1.73
3/7/02,1.73
3/8/02,1.73
3/11/02,1.73
3/12/02,1.73
3/13/02,1.73
3/14/02,1.73
3/15/02,1.73
3/18/02,1.73
3/19/02,1.73
3/20/02,1.73
3/21/02,1.73
3/22/02,1.73
3/25/02,1.73
3/26/02,1.73
3/27/02,1.73
3/28/02,1.73
4/1/02,1.75
4/2/02,1.75
4/3/02,1.75
4/4/02,1.75
4/5/02,1.75
4/8/02,1.75
4/9/02,1.75
4/10/02,1.75
4/11/02,1.75
4/12/02,1.75
4/15/02,1.75
4/16/02,1.75
4/17/02,1.75
4/18/02,1.75
4/19/02,1.75
4/22/02,1.75
4/23/02,1.75
4/24/02,1.75
4/25/02,1.75
4/26/02,1.75
4/29/02,1.75
4/30/02,1.75
5/1/02,1.75
5/2/02,1.75
5/3/02,1.75
5/6/02,1.75
5/7/02,1.75
5/8/02,1.75
5/9/02,1.75
5/10/02,1.75
5/13/02,1.75
5/14/02,1.75
5/15/02,1.75
5/16/02,1.75
5/17/02,1.75
5/20/02,1.75
5/21/02,1.75
5/22/02,1.75
5/23/02,1.75
5/24/02,1.75
5/28/02,1.75
5/29/02,1.75
5/30/02,1.75
5/31/02,1.75
6/3/02,1.75
6/4/02,1.75
6/5/02,1.75
6/6/02,1.75
6/7/02,1.75
6/10/02,1.75
6/11/02,1.75
6/12/02,1.75
6/13/02,1.75
6/14/02,1.75
6/17/02,1.75
6/18/02,1.75
6/19/02,1.75
6/20/02,1.75
6/21/02,1.75
6/24/02,1.75
6/25/02,1.75
6/26/02,1.75
6/27/02,1.75
6/28/02,1.75
7/1/02,1.73
7/2/02,1.73
7/3/02,1.73
7/5/02,1.73
7/8/02,1.73
7/9/02,1.73
7/10/02,1.73
7/11/02,1.73
7/12/02,1.73
7/15/02,1.73
7/16/02,1.73
7/17/02,1.73
7/18/02,1.73
7/19/02,1.73
7/22/02,1.73
